Zip Code,CPL Buyer Payouts,city,state_id
01810,$117.50,Andover,MA
01812,$117.50,Andover,MA
01830,$117.50,Haverhill,MA
01831,$117.50,Haverhill,MA
01832,$117.50,Haverhill,MA
01833,$117.50,Georgetown,MA
01834,$117.50,Groveland,MA
01835,$117.50,Haverhill,MA
01840,$117.50,Lawrence,MA
01841,$117.50,Lawrence,MA
01842,$117.50,Lawrence,MA
01843,$117.50,Lawrence,MA
01844,$117.50,Methuen,MA
01845,$117.50,North Andover,MA
01860,$117.50,Merrimac,MA
01885,$117.50,Wakefield,MA
01899,$117.50,Winchester,MA
01901,$117.50,Lynn,MA
01902,$117.50,Lynn,MA
01903,$117.50,Lynn,MA
01904,$117.50,Lynn,MA
01905,$117.50,Lynn,MA
01906,$117.50,Saugus,MA
01907,$117.50,Swampscott,MA
01908,$117.50,Nahant,MA
01910,$117.50,Nahant,MA
01913,$117.50,Amesbury,MA
01915,$117.50,Beverly,MA
01921,$117.50,Boxford,MA
01922,$117.50,Byfield,MA
01923,$117.50,Danvers,MA
01929,$117.50,Essex,MA
01930,$117.50,Gloucester,MA
01931,$117.50,Gloucester,MA
01936,$117.50,Gloucester,MA
01937,$117.50,Hathorne,MA
01938,$117.50,Ipswich,MA
01940,$117.50,Lynnfield,MA
01944,$117.50,Manchester,MA
01945,$117.50,Marblehead,MA
01949,$117.50,Middleton,MA
01950,$117.50,Newburyport,MA
01951,$117.50,Newbury,MA
01952,$117.50,Salisbury,MA
01960,$117.50,Peabody,MA
01961,$117.50,Peabody,MA
01965,$117.50,Prides Crossing,MA
01966,$117.50,Rockport,MA
01969,$117.50,Rowley,MA
01970,$117.50,Salem,MA
01971,$117.50,Salem,MA
01982,$117.50,South Hamilton,MA
01983,$117.50,Topsfield,MA
01984,$117.50,Wenham,MA
01985,$117.50,West Newbury,MA
05501,$117.50,Williston,VT
05544,$117.50,Williston,VT
33503,$117.50,Balm,FL
33508,$117.50,Balm,FL
33509,$117.50,Balm,FL
33510,$117.50,Brandon,FL
33511,$117.50,Brandon,FL
33523,$117.50,Dade City,FL
33524,$117.50,Dade City,FL
33525,$117.50,Dade City,FL
33526,$117.50,Dade City,FL
33527,$117.50,Dover,FL
33530,$117.50,Durant,FL
33534,$117.50,Gibsonton,FL
33537,$117.50,Gibsonton,FL
33539,$117.50,Lake Panasoffkee,FL
33540,$117.50,Zephyrhills,FL
33541,$117.50,Zephyrhills,FL
33542,$117.50,Zephyrhills,FL
33543,$117.50,Wesley Chapel,FL
33544,$117.50,Wesley Chapel,FL
33545,$117.50,Wesley Chapel,FL
33547,$117.50,Lithia,FL
33548,$117.50,Lutz,FL
33549,$117.50,Lutz,FL
33550,$117.50,Mango,FL
33556,$117.50,Odessa,FL
33558,$117.50,Lutz,FL
33559,$117.50,Lutz,FL
33563,$117.50,Plant City,FL
33564,$117.50,Plant City,FL
33565,$117.50,Plant City,FL
33566,$117.50,Plant City,FL
33567,$117.50,Plant City,FL
33568,$117.50,Plant City,FL
33569,$117.50,Riverview,FL
33570,$117.50,Ruskin,FL
33571,$117.50,Ruskin,FL
33572,$117.50,Apollo Beach,FL
33573,$117.50,Sun City Center,FL
33574,$117.50,Saint Leo,FL
33575,$117.50,Saint Leo,FL
33576,$117.50,San Antonio,FL
33578,$117.50,Riverview,FL
33579,$117.50,Riverview,FL
33583,$117.50,Riverview,FL
33584,$117.50,Seffner,FL
33586,$117.50,Sumterville,FL
33587,$117.50,Sumterville,FL
33592,$117.50,Thonotosassa,FL
33593,$117.50,Thonotosassa,FL
33594,$117.50,Valrico,FL
33595,$117.50,Valrico,FL
33596,$117.50,Valrico,FL
33598,$117.50,Wimauma,FL
33601,$117.50,Wimauma,FL
33602,$117.50,Tampa,FL
33603,$117.50,Tampa,FL
33604,$117.50,Tampa,FL
33605,$117.50,Tampa,FL
33606,$117.50,Tampa,FL
33607,$117.50,Tampa,FL
33608,$117.50,Tampa,FL
33609,$117.50,Tampa,FL
33610,$117.50,Tampa,FL
33611,$117.50,Tampa,FL
33612,$117.50,Tampa,FL
33613,$117.50,Tampa,FL
33614,$117.50,Tampa,FL
33615,$117.50,Tampa,FL
33616,$117.50,Tampa,FL
33617,$117.50,Tampa,FL
33618,$117.50,Tampa,FL
33619,$117.50,Tampa,FL
33620,$117.50,Tampa,FL
33621,$117.50,Tampa,FL
33622,$117.50,Tampa,FL
33623,$117.50,Tampa,FL
33624,$117.50,Tampa,FL
33625,$117.50,Tampa,FL
33626,$117.50,Tampa,FL
33629,$117.50,Tampa,FL
33630,$117.50,Tampa,FL
33631,$117.50,Tampa,FL
33633,$117.50,Tampa,FL
33634,$117.50,Tampa,FL
33635,$117.50,Tampa,FL
33637,$117.50,Tampa,FL
33646,$117.50,Tampa,FL
33647,$117.50,Tampa,FL
33650,$117.50,Tampa,FL
33655,$117.50,Tampa,FL
33660,$117.50,Tampa,FL
33661,$117.50,Tampa,FL
33662,$117.50,Tampa,FL
33663,$117.50,Tampa,FL
33664,$117.50,Tampa,FL
33672,$117.50,Tampa,FL
33673,$117.50,Tampa,FL
33674,$117.50,Tampa,FL
33675,$117.50,Tampa,FL
33677,$117.50,Tampa,FL
33679,$117.50,Tampa,FL
33680,$117.50,Tampa,FL
33681,$117.50,Tampa,FL
33682,$117.50,Tampa,FL
33684,$117.50,Tampa,FL
33685,$117.50,Tampa,FL
33686,$117.50,Tampa,FL
33687,$117.50,Tampa,FL
33688,$117.50,Tampa,FL
33689,$117.50,Tampa,FL
33694,$117.50,Tampa,FL
33701,$117.50,Saint Petersburg,FL
33702,$117.50,Saint Petersburg,FL
33703,$117.50,Saint Petersburg,FL
33704,$117.50,Saint Petersburg,FL
33705,$117.50,Saint Petersburg,FL
33706,$117.50,Saint Petersburg,FL
33707,$117.50,Saint Petersburg,FL
33708,$117.50,Saint Petersburg,FL
33709,$117.50,Saint Petersburg,FL
33710,$117.50,Saint Petersburg,FL
33711,$117.50,Saint Petersburg,FL
33712,$117.50,Saint Petersburg,FL
33713,$117.50,Saint Petersburg,FL
33714,$117.50,Saint Petersburg,FL
33715,$117.50,Saint Petersburg,FL
33716,$117.50,Saint Petersburg,FL
33729,$117.50,Saint Petersburg,FL
33730,$117.50,Saint Petersburg,FL
33731,$117.50,Saint Petersburg,FL
33732,$117.50,Saint Petersburg,FL
33733,$117.50,Saint Petersburg,FL
33734,$117.50,Saint Petersburg,FL
